"MCC","Description","Valid Payment Brand(s)","Visa Abbreviation","MasterCard Abbreviation"
"3088","Croatia Air","V, M","CROATIA AIR","CROATIA"
"3089","Transaero","V, M","TRANSAERO","TRANSAERO"
"3090","Uni Airways Corporation","V, M","UNIAIR","UNIAIR"
"3094","Zambia Airways","V, M","ZAMBIA AIR","ZAMBIA A"
"3096","Air Zimbabwe Corp","V, M","AIR ZIMBABWE","AIRZIMBA"
"3097","Spanair","V, M","SPANAIR","SPANAIR"
"3098","Asiana Airlines","V, M","ASIANA AIR","ASIANA"
"3099","Cathay Pacific","V, M","CATHAYPACAIR","CATHAYPA"
"3100","Malaysian Airline System","V, M","MALAY AIR","MALAY AI"
"3102","Iberia","V, M","IBERIA AIR","IBERIA"
"3103","Garuda","V, M","GARUDA AIR","GARUDA"
"3106","Braathens S.A.F.E.","V, M","BRAATHENS","BRAATHEN"
"3110","Wings Airways","V","WINGS AIR","NA"
"3111","British Midland","V, M","BRMIDLANDAIR","BRITISH M"
"3112","Windward Island","V, M","WINDWRDISAIR","WINDWARD"
"3115","Tower Air","V, M","TOWERAIR","TOWERAIR"
"3117","Venezolana International De Aviacion","V, M","VIASA","VIASA"
"3118","Valley Airlines","V, M","VALLEY AIR","VALLEY AIR"
"3125","Tan Sahsa","V, M","TAN AIR","TAN AIR"
"3126","Talair PTY Ltd.","V","TALAIR","NA"
"3127","Taca International","V, M","TACAINTL AIR","TACA INT"
"3129","Surinam Airways","V, M","SURINAM AIR","SURINAM"
"3130","Sunworld International","V, M","SUNWORLD AIR","SUNWORLD"
"3131","VLM Airlines","V, M","VLM AIR","VLM"
"3132","Frontier Airlines","V, M","FRONTIER AIR","FRONTIER"
"3133","Sunbelt Airlines","V","SUNBELT AIR","NA"
"3135","Sudan Airways","V","SUDAN AIR","NA"
"3136","Qatar Airways","V, M","QATAR AIR","QATAR AIR"
"3137","Singleton","V","SINGLETONAIR","NA"
"3138","Simmons Airlines","V","SIMMONS AIR","NA"
"3143","Scenic Airlines","V","SCENIC AIR","NA"
"3144","Virgin Atlantic","V, M","VIRGINATLAIR","VIR ATL"
"3145","San Juan","V","SAN JUAN AIR","NA"
"3146","Luxair","V, M","LUXAIR","LUXAIR"
"3148","Air Littoral S.A.","V, M","AIRLITTORAL","LITTORAL"
"3151","Air Zaire","V, M","AIR ZAIRE","AIRZAIRE"
"3154","Princeville","V","PRINCVLLEAIR","NA"
"3156","Go Fly Ltd.","V, M","GOFLY","GOFLY"
"3159","Provincetown-Boston Airways","V, M","PBA AIRLINE","PBA"
"3161","All Nipon Airways","V, M","ANA AIR","ANAAIR"
"3164","Norontair","V, M","NORONTAIR","NORONTAI"
"3165","New York Helicopter","V","NY HELI","NA"
"3167","Aero Continente","V, M","AEROCONTINEN","AERO CONT"
"3170","Mount Cook","V","MT COOK AIR","NA"
"3171","Canadian Airlines International","V, M","CANADIAN AIR","CANADIAN"
"3172","Nationair","V, M","NATIONAIR","NATIONAI"
"3174","Jetblue Airways","V, M","JETBLUE","JETBLUE"
"3175","Middle East Air","V, M","MIDEAST AIR","MIDEASTA"
"3176","Metroflight Airlines","V","METROFLT AIR","NA"
"3177","AirTran Airways","V, M","AIRTRANAIR","AIRTRAN A"
"3178","Mesa Air","V, M","MESA AIR","MESA AIR"
"3180","Westjet Airlines","V, M","WESTJETAIR","WESTJET"
"3181","Malev","V, M","MALEV AIR","MALEV"
"3182","LOT Polish Airlines","V, M","LOT AIR","LOT"
"3183","Oman Air","V, M","OMANAIR","OMAN AIR"
"3184","LIAT","V, M","LIAT AIRLINE","LIAT"
"3185","Linea Aeropostal Venezolana LAV","V, M","LAV AIR","LAV"
"3186","Lineas Aereas Paraguayas LAP","V, M","LAP AIR","LAP"
"3187","LACSA Costa Rica","V, M","LACSA AIR","LACSA"
"3188","Virgin Express","V, M","VIRGINEXPAIR","VIR EXP"
"3190","Jugoslav Air","V, M","JUGOSLAV AIR","JUGOSLAV"
